mode,fuel,vehicle,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Road transport,Petrol,Cars & taxis,20.07,19.72,19.68,18.86,18.49,17.79,17.20,16.65,15.79,14.93,14.17
Road transport,Petrol,Light vans,0.84,0.72,0.61,0.52,0.46,0.39,0.39,0.36,0.33,0.29,0.26
Road transport,Petrol,Motorcycles & mopeds,0.17,0.18,0.19,0.21,0.20,0.21,0.20,0.21,0.20,0.20,0.18
Road transport,Diesel,Cars & taxis,3.84,4.12,4.55,4.96,5.47,5.92,6.39,6.78,7.22,7.24,7.26
Road transport,Diesel,Light vans,3.18,3.42,3.61,3.88,4.13,4.30,4.45,4.66,4.58,4.46,4.51
Road transport,Diesel,Heavy goods vehicles,7.04,6.95,7.12,7.11,7.13,7.37,7.44,7.66,6.94,6.53,7.24
Road transport,Diesel,Buses & coaches,1.25,1.26,1.31,1.43,1.43,1.48,1.50,1.58,1.50,1.48,1.49
Road transport,LPG,NA,0.02,0.05,0.09,0.10,0.11,0.12,0.13,0.12,0.13,0.11,0.11
Rail,Gas oil,NA,0.57,0.60,0.60,0.60,0.63,0.58,0.58,0.59,0.60,0.60,0.61
Shipping,Gas oil,NA,2.05,2.18,1.75,1.98,1.92,1.81,2.22,1.84,1.69,1.65,1.58
Shipping,Fuel oils,NA,0.98,0.87,0.81,0.92,1.28,1.52,1.82,2.04,2.56,2.36,1.94
Aviation,Aviation spirit,NA,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.03,0.03,0.02,0.02
Aviation,Aviation turbine fuel,NA,10.81,10.61,10.52,10.76,11.64,12.50,12.64,12.57,12.22,11.53,11.12